States/UTs,Estimated Population,New Cases Detected,Cases Discharged as cured,Delition of Other Cases RFT,Cases on Record under treatment,Prevalance Rate
Andaman & Nicobar Islands,405374,10,10,0,6,0.15
Andhra Pradesh,54824288,1775,1855,65,1394,0.25
Arunachal Pradesh,1707138,22,11,2,27,0.16
Assam,36364835,536,536,79,524,0.14
Bihar,129191986,9252,7890,573,8144,0.63
Chandigarh,1230903,81,43,59,80,0.65
Chhattisgarh,30164496,5832,4974,250,4833,1.6
Dadra and Nagar Haveli,475591,127,143,5,87,1.83
Daman and Diu,388073,8,2,11,7,0.18
Delhi,19977593,979,853,319,1379,0.69
Goa,1575065,68,58,22,0,0
Gujarat,71848775,2563,2445,81,1997,0.28
Haryana,30284022,370,302,18,366,0.12
Himachal Pradesh,7660809,122,69,4,110,0.14
Jammu & Kashmir,14986542,120,78,37,108,0.07
Jharkhand,40055530,4259,3113,248,3393,0.85
Karnataka,75473839,1835,1531,122,1605,0.21
Kerala,34969351,376,344,68,396,0.11
Ladakh,361693,14,17,0,2,0.06
Lakshadweep,68468,0,0,0,0,0
Madhya Pradesh,85711598,5860,4919,112,4947,0.58
Maharashtra,129042491,10930,11656,365,8800,0.68
Manipur,3181846,40,28,2,14,0.04
Meghalaya,3718979,5,12,2,7,0.02
Mizoram,1267097,8,1,0,0,0
Nagaland,1971707,16,26,0,5,0.03
Odisha,47484159,7093,6654,373,4638,0.98
Puducherry,1577914,15,12,0,13,0.08
Punjab,31084225,298,488,2,256,0.08
Rajasthan,82245776,844,686,143,981,0.12
Sikkim,680650,17,11,7,14,0.21
Tamil Nadu,82782859,2363,1659,285,1886,0.23
Telangana,38811015,1884,1592,14,1431,0.37
Tripura,5762157,24,29,5,25,0.04
Uttar Pradesh,237671395,10150,9128,1126,7743,0.33
Uttarakhand,11965988,333,218,51,296,0.25
West Bengal,103585935,5241,4016,667,4900,0.47
